during training cycle 	, train error ,  test error ,   1000
11   ,	3.382826,   1.392933
21   ,	3.402761,   1.370523
31   ,	3.126637,   1.272345
41   ,	3.080667,   1.26838
51   ,	3.189023,   1.255565
61   ,	3.165399,   1.294388
71   ,	3.158362,   1.654732
81   ,	3.116401,   1.333992
91   ,	3.10238,   1.343377
101   ,	3.192179,   1.406571
111   ,	2.989629,   1.24009
121   ,	3.04639,   1.42743
131   ,	3.090838,   1.361645
141   ,	3.099269,   1.287226
151   ,	3.013652,   1.348218
161   ,	2.912043,   1.409544
171   ,	2.877722,   1.211603
181   ,	3.140066,   1.3305
191   ,	2.899807,   1.394241
201   ,	2.873253,   1.251514
211   ,	2.865049,   1.289008
221   ,	3.136532,   1.524407
231   ,	3.063885,   1.581636
241   ,	2.964193,   1.321847
251   ,	2.914276,   1.469689
261   ,	2.925958,   1.379038
271   ,	3.020202,   1.272399
281   ,	3.018698,   1.298141
291   ,	3.005201,   1.826065
301   ,	3.098622,   1.554721
311   ,	3.04158,   1.664453
321   ,	2.891582,   1.384614
331   ,	2.897002,   1.428254
341   ,	2.88316,   1.386499
351   ,	3.030217,   1.229203
361   ,	2.668347,   1.190181
371   ,	2.956533,   1.428819
381   ,	2.976657,   1.293323
391   ,	2.722721,   1.292336
401   ,	3.232747,   1.369209
411   ,	2.971656,   1.393448
421   ,	2.791378,   1.469065
431   ,	2.965216,   1.694636
441   ,	2.836223,   1.265133
451   ,	2.847995,   1.286356
461   ,	3.006192,   1.515207
471   ,	2.888527,   1.441679
481   ,	2.918401,   1.324447
491   ,	2.736887,   1.196409
501   ,	2.78411,   1.418588
511   ,	2.846623,   1.286092
521   ,	2.802991,   1.347521
531   ,	2.797525,   1.38003
541   ,	2.743964,   1.304093
551   ,	2.859574,   1.658547
561   ,	2.716126,   1.453306
571   ,	2.985258,   1.398892
581   ,	2.951656,   1.397338
591   ,	2.996891,   1.502876
601   ,	2.980341,   1.367902
611   ,	2.822019,   1.473015
621   ,	3.050312,   1.358381
631   ,	3.048168,   1.32698
641   ,	2.931852,   1.589979
651   ,	2.803781,   1.519953
661   ,	2.869087,   1.296441
671   ,	2.757229,   1.463046
681   ,	3.385819,   1.826527
691   ,	2.980755,   1.312055
701   ,	2.906387,   1.358391
711   ,	2.851024,   1.361938
721   ,	3.050032,   1.615175
731   ,	2.783247,   1.471941
741   ,	2.831841,   1.554398
751   ,	2.860017,   1.378335
761   ,	2.93819,   1.391379
771   ,	2.951615,   1.511965
781   ,	2.985338,   1.702569
791   ,	2.913746,   1.538186
801   ,	2.80482,   1.28889
811   ,	2.672069,   1.375231
821   ,	2.968237,   1.410267
831   ,	2.62515,   1.360705
841   ,	2.814472,   1.308344
851   ,	2.859052,   1.265284
861   ,	2.591832,   1.363248
871   ,	2.665071,   1.2854
881   ,	2.659786,   1.325494
891   ,	2.892904,   1.273103
901   ,	2.750735,   1.219891
911   ,	2.720278,   1.288524
921   ,	2.770327,   1.371748
931   ,	2.790226,   1.299325
941   ,	2.824691,   1.442779
951   ,	2.718303,   1.365925
961   ,	2.825703,   1.413412
971   ,	2.812924,   1.378412
981   ,	2.701265,   1.280128
991   ,	2.901928,   1.306599
