during training cycle 	, train error ,  test error ,   300
11   ,	3.465475,   1.525523
21   ,	3.627518,   1.554209
31   ,	3.464274,   1.450102
41   ,	3.278283,   1.363375
51   ,	3.139815,   1.349315
61   ,	3.354822,   1.314342
71   ,	3.22341,   1.362618
81   ,	2.976158,   1.219659
91   ,	3.151098,   1.322071
101   ,	3.275354,   1.350131
111   ,	3.159672,   1.220018
121   ,	3.137639,   1.278312
131   ,	3.010041,   1.315439
141   ,	3.135951,   1.344394
151   ,	3.008614,   1.32551
161   ,	3.195164,   1.372588
171   ,	3.092922,   1.302434
181   ,	3.029545,   1.365281
191   ,	3.132152,   1.727024
201   ,	2.994426,   1.137994
211   ,	2.857639,   1.15704
221   ,	3.084058,   1.133093
231   ,	2.972773,   1.324895
241   ,	2.939037,   1.327759
251   ,	3.092677,   1.320299
261   ,	3.120957,   1.27737
271   ,	3.00986,   1.454504
281   ,	2.942603,   1.381058
291   ,	3.309312,   1.324529
