during training cycle 	, train error ,  test error ,   200
11   ,	3.519208,   1.573928
21   ,	3.585676,   1.461892
31   ,	3.495869,   1.311632
41   ,	3.384331,   1.503788
51   ,	3.364431,   1.423988
61   ,	3.334152,   1.431314
71   ,	3.366794,   1.293946
81   ,	3.374898,   1.402646
91   ,	3.292748,   1.244461
101   ,	3.170714,   1.383588
111   ,	3.024541,   1.479634
121   ,	3.410029,   1.579853
131   ,	3.08539,   1.304327
141   ,	3.452778,   1.920182
151   ,	3.058361,   1.432223
161   ,	3.198132,   1.325949
171   ,	3.080358,   1.346901
181   ,	3.282551,   1.397529
191   ,	3.223781,   1.612111
