6 5 135
529.5	529.282	529.088	526.979	526.412	522.162	
535.61 	535.20	535.13  532.11  530.81  525.35  0.80    0.80    0.80    0.80    0.80
536.22	535.79	535.74	532.71	531.36	525.70	0.91	0.89	0.72	0.83	0.68
535.16	534.77	534.70	531.80	530.56	525.32	0.70	0.66	1.03	0.69	0.89
535.28	534.89	534.77	531.61	530.30	524.93	0.79	0.80	0.67	0.93	0.84
535.00	534.61	534.57	531.84	530.60	525.27	0.65	1.02	0.85	0.90	0.98
535.78	535.36	535.30	532.40	531.13	525.86	0.85	0.79	0.99	0.98	0.61
536.12	535.70	535.60	532.44	531.13	525.79	0.97	0.70	1.03	0.94	0.76
536.03	535.61	535.58	532.75	531.44	525.90	0.86	1.05	1.01	0.83	1.05
534.71	534.33	534.27	531.44	530.20	524.91	0.60	0.86	0.74	0.83	0.86
535.55	535.15	535.05	531.94	530.63	525.23	0.83	0.79	0.90	0.82	1.03
536.92	536.48	536.41	533.13	531.71	525.92	1.04	0.61	0.80	0.60	0.60
536.07	535.64	535.66	532.99	531.68	526.00	0.77	0.88	0.80	0.60	0.60
536.29	535.87	535.72	532.20	530.81	525.29	1.04	0.60	0.76	0.89	0.76
535.55	535.14	535.14	532.44	531.16	525.59	0.71	1.02	0.88	0.68	1.01
535.67	535.26	535.24	532.45	531.15	525.56	0.76	1.02	0.86	0.72	1.03
535.39	534.99	534.92	531.99	530.74	525.45	0.74	0.60	1.05	0.63	0.84
535.05	534.67	534.57	531.54	530.26	524.95	0.74	0.93	0.76	0.96	1.05
535.01	534.62	534.58	531.86	530.66	525.55	0.63	0.60	1.05	0.71	0.60
536.89	536.45	536.36	532.94	531.48	525.48	1.05	0.74	0.60	0.60	0.80
535.03	534.64	534.61	531.93	530.73	525.56	0.63	0.74	1.05	0.75	0.74
535.59	535.17	535.18	532.52	531.24	525.67	0.71	1.03	0.89	0.68	0.97
535.45	535.04	535.03	532.33	531.04	525.48	0.69	1.01	0.84	0.67	1.01
535.52	535.12	535.08	532.26	530.99	525.56	0.74	0.79	1.05	0.60	1.03
534.78	534.40	534.35	531.62	530.41	525.22	0.60	0.79	0.90	0.82	0.76
534.88	534.49	534.43	531.63	530.41	525.17	0.60	0.60	0.92	0.60	0.74
536.15	535.72	535.76	533.21	531.93	526.40	0.77	0.87	1.05	0.62	0.60
535.15	534.75	534.76	532.25	531.04	525.70	0.60	0.87	1.05	0.62	0.87
535.31	534.91	534.90	532.20	530.93	525.43	0.67	0.98	0.86	0.69	0.99
535.70	535.28	535.29	532.62	531.34	525.76	0.73	1.05	0.92	0.69	0.99
534.82	534.44	534.37	531.55	530.35	525.22	0.62	0.65	1.05	0.71	0.87
534.98	534.60	534.49	531.53	530.33	525.40	0.74	0.60	1.05	1.05	0.60
534.82	534.44	534.38	531.59	530.38	525.22	0.60	0.60	1.05	0.60	0.87
534.40	534.04	533.93	530.98	529.77	524.77	0.60	0.74	0.78	1.02	0.74
534.61	534.25	534.06	530.70	529.43	524.41	0.74	0.60	0.78	1.02	1.01
535.58	535.17	535.16	532.46	531.18	525.65	0.73	1.04	0.91	0.74	1.00
534.72	534.34	534.27	531.45	530.24	525.10	0.60	0.67	1.01	0.70	0.91
534.84	534.46	534.40	531.62	530.41	525.25	0.61	0.65	1.05	0.66	0.87
535.22	534.83	534.74	531.72	530.44	525.11	0.74	0.74	0.92	0.74	1.01
534.25	533.89	533.74	530.63	529.42	524.47	0.60	0.60	0.92	0.89	1.05
535.42	535.04	534.86	531.35	530.00	524.64	0.87	0.60	0.65	0.89	0.87
535.52	535.11	535.11	532.42	531.14	525.60	0.71	1.03	0.90	0.70	1.02
535.37	534.97	534.96	532.27	531.01	525.52	0.69	1.02	0.90	0.73	1.01
531.66	531.37	531.27	529.11	528.35	524.57	0.61	0.68	1.05	0.67	0.92
534.82	534.44	534.37	531.54	530.33	525.17	0.62	0.63	1.04	0.66	0.90
535.23	534.84	534.76	531.82	530.56	525.30	0.74	0.74	1.05	0.74	1.05
535.58	535.17	535.14	532.35	531.09	525.69	0.74	0.74	1.05	0.60	0.87
535.05	534.67	534.55	531.45	530.20	525.04	0.74	0.60	1.05	0.75	1.05
535.56	535.15	535.14	532.43	531.15	525.61	0.72	1.03	0.90	0.71	1.02
535.34	534.94	534.93	532.21	530.94	525.45	0.68	1.00	0.88	0.71	1.03
534.83	534.45	534.39	531.60	530.39	525.21	0.61	0.67	1.01	0.67	0.87
534.85	534.47	534.41	531.55	530.29	524.90	0.60	0.74	0.78	0.60	0.92
535.16	534.78	534.65	531.40	530.09	524.67	0.74	0.60	0.78	0.60	1.05
