during training cycle 	, train error ,  test error ,   500
11   ,	3.395504,   1.509609
21   ,	3.70581,   1.448923
31   ,	3.239379,   1.417376
41   ,	3.372303,   1.960865
51   ,	3.230742,   1.481583
61   ,	3.328278,   1.777618
71   ,	2.988692,   1.354688
81   ,	3.132658,   1.463953
91   ,	2.938868,   1.165449
101   ,	3.034863,   1.308783
111   ,	3.032053,   1.302733
121   ,	3.075451,   1.224759
131   ,	3.142138,   1.359151
141   ,	3.103924,   1.45286
151   ,	3.324699,   1.470089
161   ,	3.037924,   1.239521
171   ,	3.068345,   1.361286
181   ,	3.070845,   1.466002
191   ,	3.081742,   1.322522
201   ,	3.371331,   1.300152
211   ,	3.394696,   1.670183
221   ,	3.206272,   1.475864
231   ,	3.114199,   1.428183
241   ,	3.241475,   1.461634
251   ,	3.192792,   1.596118
261   ,	3.083063,   1.593152
271   ,	3.086932,   1.621445
281   ,	2.974896,   1.494755
291   ,	3.071937,   1.391723
301   ,	3.058168,   1.610306
311   ,	2.938693,   1.380971
321   ,	3.147671,   1.517204
331   ,	2.999963,   1.501481
341   ,	2.974439,   1.529499
351   ,	3.02412,   1.341846
361   ,	2.987336,   1.393271
371   ,	2.981287,   1.365683
381   ,	3.013503,   1.625157
391   ,	3.068943,   1.666931
401   ,	3.042802,   1.565738
411   ,	3.056087,   1.589728
421   ,	2.984067,   1.551103
431   ,	2.943099,   1.349091
441   ,	2.945378,   1.568778
451   ,	3.013407,   1.387417
461   ,	3.052429,   1.615108
471   ,	3.099127,   1.506911
481   ,	3.060381,   1.577943
491   ,	3.038062,   1.662313
