during training cycle 	, train error ,  test error ,   100
11   ,	3.35666,   1.30009
21   ,	3.677493,   1.352768
31   ,	3.255588,   1.307201
41   ,	3.125118,   1.251497
51   ,	3.131531,   1.185797
61   ,	3.316485,   1.252789
71   ,	3.170451,   1.243554
81   ,	3.253565,   1.265397
91   ,	3.036904,   1.288794
